Longitud_WGS84,Latitud_WGS84,,,,,,,,,,,,,,,,
2.12821035,41.38839659,,,,,,,,,,,,,,,,
2.12821035,41.38839659,,,,,,,,,,,,,,,,
2.13543638,41.39586353,,,,,,,,,,,,,,,,
2.13543638,41.39586353,,,,,,,,,,,,,,,,
2.13543638,41.39586353,,,,,,,,,,,,,,,,
2.13217547,41.40205208,,,,,,,,,,,,,,,,
2.13217547,41.40205208,,,,,,,,,,,,,,,,
2.13920428,41.41200016,,,,,,,,,,,,,,,,
2.13920428,41.41200016,,,,,,,,,,,,,,,,
2.14498432,41.39285888,,,,,,,,,,,,,,,,
2.18450693,41.40518333,,,,,,,,,,,,,,,,
2.18450693,41.40518333,,,,,,,,,,,,,,,,
2.17797209,41.44601984,,,,,,,,,,,,,,,,
2.17797209,41.44601984,,,,,,,,,,,,,,,,
2.17438055,41.39367902,,,,,,,,,,,,,,,,
2.17438055,41.39367902,,,,,,,,,,,,,,,,
2.17555965,41.40527404,,,,,,,,,,,,,,,,
2.17555965,41.40527404,,,,,,,,,,,,,,,,
2.19830558,41.3947355,,,,,,,,,,,,,,,,
2.19830558,41.3947355,,,,,,,,,,,,,,,,
2.1830945,41.38553032,,,,,,,,,,,,,,,,
2.17665545,41.37442665,,,,,,,,,,,,,,,,
2.17665545,41.37442665,,,,,,,,,,,,,,,,
2.17069986,41.41392619,,,,,,,,,,,,,,,,
2.17069986,41.41392619,,,,,,,,,,,,,,,,
2.14227865,41.384865,,,,,,,,,,,,,,,,
2.14227865,41.384865,,,,,,,,,,,,,,,,
2.11206426,41.38444757,,,,,,,,,,,,,,,,
2.11206426,41.38444757,,,,,,,,,,,,,,,,
2.17611843,41.44854962,,,,,,,,,,,,,,,,
2.17611843,41.44854962,,,,,,,,,,,,,,,,
2.15949512,41.37518851,,,,,,,,,,,,,,,,
2.15949512,41.37518851,,,,,,,,,,,,,,,,
2.15949512,41.37518851,,,,,,,,,,,,,,,,
2.18007765,41.39828275,,,,,,,,,,,,,,,,
2.18007765,41.39828275,,,,,,,,,,,,,,,,
2.12327446,41.38727958,,,,,,,,,,,,,,,,
2.12327446,41.38727958,,,,,,,,,,,,,,,,
2.12327446,41.38727958,,,,,,,,,,,,,,,,
2.19467063,41.3833936,,,,,,,,,,,,,,,,
2.19467063,41.3833936,,,,,,,,,,,,,,,,
2.15165251,41.37881863,,,,,,,,,,,,,,,,
2.15165251,41.37881863,,,,,,,,,,,,,,,,
2.14981447,41.38894147,,,,,,,,,,,,,,,,
2.14981447,41.38894147,,,,,,,,,,,,,,,,
2.1067238,41.38321863,,,,,,,,,,,,,,,,
2.1067238,41.38321863,,,,,,,,,,,,,,,,
2.1067238,41.38321863,,,,,,,,,,,,,,,,
2.16184651,41.39671768,,,,,,,,,,,,,,,,
2.16184651,41.39671768,,,,,,,,,,,,,,,,
2.18227827,41.39960471,,,,,,,,,,,,,,,,
2.18227827,41.39960471,,,,,,,,,,,,,,,,
2.16933226,41.38783727,,,,,,,,,,,,,,,,
2.16933226,41.38783727,,,,,,,,,,,,,,,,
2.14296412,41.37037974,,,,,,,,,,,,,,,,
2.14296412,41.37037974,,,,,,,,,,,,,,,,
2.18247207,41.40041303,,,,,,,,,,,,,,,,
2.18247207,41.40041303,,,,,,,,,,,,,,,,
2.18247207,41.40041303,,,,,,,,,,,,,,,,
2.15692261,41.43777613,,,,,,,,,,,,,,,,
2.15692261,41.43777613,,,,,,,,,,,,,,,,
2.12429989,41.38812108,,,,,,,,,,,,,,,,
2.12429989,41.38812108,,,,,,,,,,,,,,,,
2.12429989,41.38812108,,,,,,,,,,,,,,,,
2.12429989,41.38812108,,,,,,,,,,,,,,,,
2.1067238,41.38321863,,,,,,,,,,,,,,,,
2.1067238,41.38321863,,,,,,,,,,,,,,,,
2.1730965,41.43874166,,,,,,,,,,,,,,,,
2.1730965,41.43874166,,,,,,,,,,,,,,,,
2.1197679,41.38605478,,,,,,,,,,,,,,,,
2.1197679,41.38605478,,,,,,,,,,,,,,,,
2.13393052,41.41446946,,,,,,,,,,,,,,,,
2.13393052,41.41446946,,,,,,,,,,,,,,,,
2.11340164,41.40028816,,,,,,,,,,,,,,,,
2.11340164,41.40028816,,,,,,,,,,,,,,,,
2.14488639,41.39245128,,,,,,,,,,,,,,,,
2.14488639,41.39245128,,,,,,,,,,,,,,,,
2.16207494,41.37607102,,,,,,,,,,,,,,,,
2.16207494,41.37607102,,,,,,,,,,,,,,,,
2.12236755,41.39147818,,,,,,,,,,,,,,,,
2.17661079,41.40778884,,,,,,,,,,,,,,,,
2.17661079,41.40778884,,,,,,,,,,,,,,,,
2.17661079,41.40778884,,,,,,,,,,,,,,,,
2.17413989,41.38729401,,,,,,,,,,,,,,,,
2.17413989,41.38729401,,,,,,,,,,,,,,,,
2.17100209,41.40893188,,,,,,,,,,,,,,,,
2.17100209,41.40893188,,,,,,,,,,,,,,,,
2.18788294,41.44892239,,,,,,,,,,,,,,,,
2.18788294,41.44892239,,,,,,,,,,,,,,,,
2.18788294,41.44892239,,,,,,,,,,,,,,,,
2.15997937,41.39359813,,,,,,,,,,,,,,,,
2.15997937,41.39359813,,,,,,,,,,,,,,,,
2.17282639,41.38195123,,,,,,,,,,,,,,,,
2.17282639,41.38195123,,,,,,,,,,,,,,,,
2.14827183,41.38987951,,,,,,,,,,,,,,,,
2.14827183,41.38987951,,,,,,,,,,,,,,,,
2.19485846,41.40928674,,,,,,,,,,,,,,,,
2.12502547,41.41060727,,,,,,,,,,,,,,,,
2.13712502,41.39076907,,,,,,,,,,,,,,,,
2.13712502,41.39076907,,,,,,,,,,,,,,,,
2.11878642,41.37998358,,,,,,,,,,,,,,,,
2.15724505,41.35238918,,,,,,,,,,,,,,,,
2.15724505,41.35238918,,,,,,,,,,,,,,,,
2.15724505,41.35238918,,,,,,,,,,,,,,,,
2.15724505,41.35238918,,,,,,,,,,,,,,,,
2.15724505,41.35238918,,,,,,,,,,,,,,,,
2.12060717,41.39443895,,,,,,,,,,,,,,,,
2.12060717,41.39443895,,,,,,,,,,,,,,,,
2.13855397,41.41474666,,,,,,,,,,,,,,,,
2.13855397,41.41474666,,,,,,,,,,,,,,,,
2.13855397,41.41474666,,,,,,,,,,,,,,,,
2.13787434,41.41567568,,,,,,,,,,,,,,,,
2.138388,41.42206959,,,,,,,,,,,,,,,,
2.138388,41.42206959,,,,,,,,,,,,,,,,
2.17633448,41.42499715,,,,,,,,,,,,,,,,
2.17633448,41.42499715,,,,,,,,,,,,,,,,
2.13976079,41.37600689,,,,,,,,,,,,,,,,
2.17544006,41.41032727,,,,,,,,,,,,,,,,
2.17544006,41.41032727,,,,,,,,,,,,,,,,
2.15742623,41.38128146,,,,,,,,,,,,,,,,
2.15742623,41.38128146,,,,,,,,,,,,,,,,
2.17782974,41.40187439,,,,,,,,,,,,,,,,
2.17782974,41.40187439,,,,,,,,,,,,,,,,
2.15733757,41.42498351,,,,,,,,,,,,,,,,
2.15733757,41.42498351,,,,,,,,,,,,,,,,
2.16177086,41.44082271,,,,,,,,,,,,,,,,
2.16177086,41.44082271,,,,,,,,,,,,,,,,
2.16177086,41.44082271,,,,,,,,,,,,,,,,
2.15889878,41.38858436,,,,,,,,,,,,,,,,
2.15889878,41.38858436,,,,,,,,,,,,,,,,
2.15889878,41.38858436,,,,,,,,,,,,,,,,
2.17276063,41.38845989,,,,,,,,,,,,,,,,
2.17276063,41.38845989,,,,,,,,,,,,,,,,
2.18955736,41.41313369,,,,,,,,,,,,,,,,
2.18955736,41.41313369,,,,,,,,,,,,,,,,
2.18955736,41.41313369,,,,,,,,,,,,,,,,
2.16821675,41.39871045,,,,,,,,,,,,,,,,
2.16821675,41.39871045,,,,,,,,,,,,,,,,
2.1811224,41.40436327,,,,,,,,,,,,,,,,
2.1811224,41.40436327,,,,,,,,,,,,,,,,
2.17289717,41.44669212,,,,,,,,,,,,,,,,
2.17289717,41.44669212,,,,,,,,,,,,,,,,
2.19074912,41.3903646,,,,,,,,,,,,,,,,
2.19074912,41.3903646,,,,,,,,,,,,,,,,
2.20326199,41.41546391,,,,,,,,,,,,,,,,
2.20326199,41.41546391,,,,,,,,,,,,,,,,
2.16177086,41.44082271,,,,,,,,,,,,,,,,
2.16177086,41.44082271,,,,,,,,,,,,,,,,
2.13190508,41.4051942,,,,,,,,,,,,,,,,
2.13190508,41.4051942,,,,,,,,,,,,,,,,
2.13443545,41.40289022,,,,,,,,,,,,,,,,
2.13443545,41.40289022,,,,,,,,,,,,,,,,
2.17274603,41.39245084,,,,,,,,,,,,,,,,
2.17274603,41.39245084,,,,,,,,,,,,,,,,
2.13536342,41.39777526,,,,,,,,,,,,,,,,
2.13536342,41.39777526,,,,,,,,,,,,,,,,
2.13536342,41.39777526,,,,,,,,,,,,,,,,
2.15358979,41.3838181,,,,,,,,,,,,,,,,
2.15358979,41.3838181,,,,,,,,,,,,,,,,
2.13498871,41.36389736,,,,,,,,,,,,,,,,
2.13498871,41.36389736,,,,,,,,,,,,,,,,
2.13875106,41.41864456,,,,,,,,,,,,,,,,
2.20780191,41.40478465,,,,,,,,,,,,,,,,
2.20780191,41.40478465,,,,,,,,,,,,,,,,
2.20780191,41.40478465,,,,,,,,,,,,,,,,
2.20580495,41.41738151,,,,,,,,,,,,,,,,
2.20580495,41.41738151,,,,,,,,,,,,,,,,
2.20598108,41.39537382,,,,,,,,,,,,,,,,
2.20598108,41.39537382,,,,,,,,,,,,,,,,
2.13056665,41.37996904,,,,,,,,,,,,,,,,
2.13056665,41.37996904,,,,,,,,,,,,,,,,
2.12684881,41.39463362,,,,,,,,,,,,,,,,
2.12684881,41.39463362,,,,,,,,,,,,,,,,
2.12684881,41.39463362,,,,,,,,,,,,,,,,
2.12684881,41.39463362,,,,,,,,,,,,,,,,
2.12684881,41.39463362,,,,,,,,,,,,,,,,
2.12684881,41.39463362,,,,,,,,,,,,,,,,
2.16750791,41.39413783,,,,,,,,,,,,,,,,
2.16750791,41.39413783,,,,,,,,,,,,,,,,
2.12393637,41.38702756,,,,,,,,,,,,,,,,
2.12393637,41.38702756,,,,,,,,,,,,,,,,
2.15427911,41.38381566,,,,,,,,,,,,,,,,
2.15427911,41.38381566,,,,,,,,,,,,,,,,
2.12800575,41.39778468,,,,,,,,,,,,,,,,
2.12800575,41.39778468,,,,,,,,,,,,,,,,
2.18923376,41.41842044,,,,,,,,,,,,,,,,
2.18923376,41.41842044,,,,,,,,,,,,,,,,
2.15781086,41.38664783,,,,,,,,,,,,,,,,
2.15781086,41.38664783,,,,,,,,,,,,,,,,
2.1971629,41.41174067,,,,,,,,,,,,,,,,
2.12133303,41.38400716,,,,,,,,,,,,,,,,
2.12133303,41.38400716,,,,,,,,,,,,,,,,
2.14718034,41.43423976,,,,,,,,,,,,,,,,
2.14718034,41.43423976,,,,,,,,,,,,,,,,
2.13413961,41.39933787,,,,,,,,,,,,,,,,
2.13413961,41.39933787,,,,,,,,,,,,,,,,
2.17352705,41.38056881,,,,,,,,,,,,,,,,
2.17352705,41.38056881,,,,,,,,,,,,,,,,
2.17352705,41.38056881,,,,,,,,,,,,,,,,
2.17352705,41.38056881,,,,,,,,,,,,,,,,
2.17580925,41.44571505,,,,,,,,,,,,,,,,
2.17580925,41.44571505,,,,,,,,,,,,,,,,
2.17580925,41.44571505,,,,,,,,,,,,,,,,
2.17580925,41.44571505,,,,,,,,,,,,,,,,
2.15279931,41.38648649,,,,,,,,,,,,,,,,
2.15279931,41.38648649,,,,,,,,,,,,,,,,
2.11480827,41.38342664,,,,,,,,,,,,,,,,
2.11480827,41.38342664,,,,,,,,,,,,,,,,
2.14203901,41.40151211,,,,,,,,,,,,,,,,
2.17657793,41.40946429,,,,,,,,,,,,,,,,
2.17657793,41.40946429,,,,,,,,,,,,,,,,
2.17881444,41.38376284,,,,,,,,,,,,,,,,
2.17881444,41.38376284,,,,,,,,,,,,,,,,
2.15416494,41.37692216,,,,,,,,,,,,,,,,
2.15416494,41.37692216,,,,,,,,,,,,,,,,
2.13281894,41.41510982,,,,,,,,,,,,,,,,
2.13281894,41.41510982,,,,,,,,,,,,,,,,
2.18110928,41.40603399,,,,,,,,,,,,,,,,
2.18110928,41.40603399,,,,,,,,,,,,,,,,
