Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
427553.682,4583957.857,2.13217547,41.40205208
428152.184,4585056.424,2.13920428,41.41200016
428152.184,4585056.424,2.13920428,41.41200016
428614.303,4582926.603,2.14498432,41.39285888
431931.309,4584263.018,2.18450693,41.40518333
431931.309,4584263.018,2.18450693,41.40518333
431428.097,4588801.805,2.17797209,41.44601984
431428.097,4588801.805,2.17797209,41.44601984
431072.73,4582993.838,2.17438055,41.39367902
431072.73,4582993.838,2.17438055,41.39367902
431183.543,4584280.162,2.17555965,41.40527404
431183.543,4584280.162,2.17555965,41.40527404
433073.949,4583092.358,2.19830558,41.3947355
433073.949,4583092.358,2.19830558,41.3947355
431792.696,4582082.283,2.1830945,41.38553032
431242.622,4580854.666,2.17665545,41.37442665
431242.622,4580854.666,2.17665545,41.37442665
430786.526,4585244.587,2.17069986,41.41392619
430786.526,4585244.587,2.17069986,41.41392619
428379.327,4582041.368,2.14227865,41.384865
428379.327,4582041.368,2.14227865,41.384865
425852.582,4582020.451,2.11206426,41.38444757
425852.582,4582020.451,2.11206426,41.38444757
431275.927,4589084.131,2.17611843,41.44854962
431275.927,4589084.131,2.17611843,41.44854962
429808.412,4580953.009,2.15949512,41.37518851
429808.412,4580953.009,2.15949512,41.37518851
429808.412,4580953.009,2.15949512,41.37518851
431553.841,4583500.417,2.18007765,41.39828275
431553.841,4583500.417,2.18007765,41.39828275
426793.069,4582325.321,2.12327446,41.38727958
426793.069,4582325.321,2.12327446,41.38727958
426793.069,4582325.321,2.12327446,41.38727958
432758.379,4581836.017,2.19467063,41.3833936
432758.379,4581836.017,2.19467063,41.3833936
429156.524,4581362.402,2.15165251,41.37881863
429156.524,4581362.402,2.15165251,41.37881863
429013.846,4582487.728,2.14981447,41.38894147
429013.846,4582487.728,2.14981447,41.38894147
425404.649,4581888.602,2.1067238,41.38321863
425404.649,4581888.602,2.1067238,41.38321863
425404.649,4581888.602,2.1067238,41.38321863
430028.144,4583341.238,2.16184651,41.39671768
430028.144,4583341.238,2.16184651,41.39671768
431739.185,4583645.442,2.18227827,41.39960471
431739.185,4583645.442,2.18227827,41.39960471
430644.481,4582349.327,2.16933226,41.38783727
430644.481,4582349.327,2.16933226,41.38783727
428420.752,4580432.674,2.14296412,41.37037974
428420.752,4580432.674,2.14296412,41.37037974
431756.231,4583735.028,2.18247207,41.40041303
431756.231,4583735.028,2.18247207,41.40041303
431756.231,4583735.028,2.18247207,41.40041303
429660.864,4587903.493,2.15692261,41.43777613
429660.864,4587903.493,2.15692261,41.43777613
426879.747,4582417.877,2.12429989,41.38812108
426879.747,4582417.877,2.12429989,41.38812108
426879.747,4582417.877,2.12429989,41.38812108
426879.747,4582417.877,2.12429989,41.38812108
425404.649,4581888.602,2.1067238,41.38321863
425404.649,4581888.602,2.1067238,41.38321863
431013.112,4587997.663,2.1730965,41.43874166
431013.112,4587997.663,2.1730965,41.43874166
426498.51,4582192.316,2.1197679,41.38605478
426498.51,4582192.316,2.1197679,41.38605478
427714.159,4585334.953,2.13393052,41.41446946
427714.159,4585334.953,2.13393052,41.41446946
425982.384,4583777.908,2.11340164,41.40028816
425982.384,4583777.908,2.11340164,41.40028816
428605.67,4582881.433,2.14488639,41.39245128
428605.67,4582881.433,2.14488639,41.39245128
430025.093,4581048.897,2.16207494,41.37607102
430025.093,4581048.897,2.16207494,41.37607102
426721.96,4582792.211,2.12236755,41.39147818
431274.055,4584558.517,2.17661079,41.40778884
431274.055,4584558.517,2.17661079,41.40778884
431274.055,4584558.517,2.17661079,41.40778884
431045.86,4582285.176,2.17413989,41.38729401
431045.86,4582285.176,2.17413989,41.38729401
430806.482,4584689.883,2.17100209,41.40893188
430806.482,4584689.883,2.17100209,41.40893188
432259.002,4589116.236,2.18788294,41.44892239
432259.002,4589116.236,2.18788294,41.44892239
432259.002,4589116.236,2.18788294,41.44892239
429868.703,4582996.42,2.15997937,41.39359813
429868.703,4582996.42,2.15997937,41.39359813
430930.384,4581693.077,2.17282639,41.38195123
430930.384,4581693.077,2.17282639,41.38195123
428885.894,4582593.132,2.14827183,41.38987951
428885.894,4582593.132,2.14827183,41.38987951
432800.776,4584710.486,2.19485846,41.40928674
426965.604,4584913.652,2.12502547,41.41060727
427954.947,4582701.104,2.13712502,41.39076907
427954.947,4582701.104,2.13712502,41.39076907
426409.6,4581519.134,2.11878642,41.37998358
429595.667,4578423.7,2.15724505,41.35238918
429595.667,4578423.7,2.15724505,41.35238918
429595.667,4578423.7,2.15724505,41.35238918
429595.667,4578423.7,2.15724505,41.35238918
429595.667,4578423.7,2.15724505,41.35238918
426578.121,4583122.402,2.12060717,41.39443895
426578.121,4583122.402,2.12060717,41.39443895
428100.864,4585361.877,2.13855397,41.41474666
428100.864,4585361.877,2.13855397,41.41474666
428100.864,4585361.877,2.13855397,41.41474666
428045.091,4585465.581,2.13787434,41.41567568
428095.076,4586174.999,2.138388,41.42206959
428095.076,4586174.999,2.138388,41.42206959
431269.115,4586469.183,2.17633448,41.42499715
431269.115,4586469.183,2.17633448,41.42499715
428159.052,4581060.041,2.13976079,41.37600689
431178.884,4584841.259,2.17544006,41.41032727
431178.884,4584841.259,2.17544006,41.41032727
429641.975,4581631.115,2.15742623,41.38128146
429641.975,4581631.115,2.15742623,41.38128146
431369.711,4583900.935,2.17782974,41.40187439
431369.711,4583900.935,2.17782974,41.40187439
429681.719,4586482.929,2.15733757,41.42498351
429681.719,4586482.929,2.15733757,41.42498351
430069.177,4588237.792,2.16177086,41.44082271
430069.177,4588237.792,2.16177086,41.44082271
430069.177,4588237.792,2.16177086,41.44082271
429772.966,4582440.675,2.15889878,41.38858436
429772.966,4582440.675,2.15889878,41.38858436
429772.966,4582440.675,2.15889878,41.38858436
430931.778,4582415.709,2.17276063,41.38845989
430931.778,4582415.709,2.17276063,41.38845989
432361.703,4585141.698,2.18955736,41.41313369
432361.703,4585141.698,2.18955736,41.41313369
432361.703,4585141.698,2.18955736,41.41313369
430562.795,4583557.345,2.16821675,41.39871045
430562.795,4583557.345,2.16821675,41.39871045
431647.552,4584174.643,2.1811224,41.40436327
431647.552,4584174.643,2.1811224,41.40436327
431004.886,4588880.477,2.17289717,41.44669212
431004.886,4588880.477,2.17289717,41.44669212
432437.711,4582612.976,2.19074912,41.3903646
432437.711,4582612.976,2.19074912,41.3903646
433509.447,4585389.777,2.20326199,41.41546391
